locus_tag	ftype	length_bp	gene	EC_number	COG	product
BIMNHAED_00001	CDS	1527	cca	2.7.7.72		CCA-adding enzyme
BIMNHAED_00002	CDS	750	yfcA		COG0730	putative membrane transporter protein YfcA
BIMNHAED_00003	tRNA	77				tRNA-Glu(ctc)
BIMNHAED_00004	tRNA	74				tRNA-Gln(ctg)
BIMNHAED_00005	CDS	858	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
BIMNHAED_00006	CDS	597	rutB_1	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
BIMNHAED_00007	CDS	672	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
BIMNHAED_00008	CDS	1359	bzaF	4.1.99.23	COG0422	5-hydroxybenzimidazole synthase
BIMNHAED_00009	CDS	651	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
BIMNHAED_00010	CDS	804				hypothetical protein
BIMNHAED_00011	CDS	258				hypothetical protein
BIMNHAED_00012	CDS	792	sepF			Cell division protein SepF
BIMNHAED_00013	CDS	693	yggS		COG0325	Pyridoxal phosphate homeostasis protein
BIMNHAED_00014	CDS	828	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
BIMNHAED_00015	CDS	1122	ftsZ		COG0206	Cell division protein FtsZ
BIMNHAED_00016	CDS	1113	ftsQ			Cell division protein FtsQ
BIMNHAED_00017	CDS	1152	murB_1	1.3.1.98		UDP-N-acetylenolpyruvoylglucosamine reductase
BIMNHAED_00018	CDS	1389	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
BIMNHAED_00019	CDS	1101	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
BIMNHAED_00020	CDS	1347	mrdB_1	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
BIMNHAED_00021	CDS	1482	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
BIMNHAED_00022	CDS	1047	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
BIMNHAED_00023	CDS	1503	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
BIMNHAED_00024	CDS	1491	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
BIMNHAED_00025	CDS	1908	spoVD		COG0768	Stage V sporulation protein D
BIMNHAED_00026	CDS	561	ftsL			Cell division protein FtsL
BIMNHAED_00027	CDS	957	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
BIMNHAED_00028	CDS	477	mraZ			Transcriptional regulator MraZ
BIMNHAED_00029	CDS	924	xerD_1			Tyrosine recombinase XerD
BIMNHAED_00030	CDS	1029	ansA	3.5.1.1	COG0252	L-asparaginase 1
BIMNHAED_00031	CDS	768				hypothetical protein
BIMNHAED_00032	CDS	1482				hypothetical protein
BIMNHAED_00033	CDS	489				hypothetical protein
BIMNHAED_00034	CDS	1614	pyrG_1	6.3.4.2		CTP synthase
BIMNHAED_00035	CDS	774	map_1	3.4.11.18	COG0024	Methionine aminopeptidase 1
BIMNHAED_00036	CDS	1932	murJ			lipid II flippase MurJ
BIMNHAED_00037	CDS	1029	ppnK	2.7.1.23	COG0061	NAD kinase
BIMNHAED_00038	CDS	711	rplA		COG0081	50S ribosomal protein L1
BIMNHAED_00039	CDS	498	rplK			50S ribosomal protein L11
BIMNHAED_00040	CDS	531	nusG		COG0250	Transcription termination/antitermination protein NusG
BIMNHAED_00041	CDS	402	secE			Protein translocase subunit SecE
BIMNHAED_00042	tRNA	77				tRNA-Trp(cca)
BIMNHAED_00043	CDS	150	rpmG		COG0267	50S ribosomal protein L33
BIMNHAED_00044	CDS	1203	tufA		COG0050	Elongation factor Tu
BIMNHAED_00045	tRNA	77				tRNA-Met(cat)
BIMNHAED_00046	tRNA	76				tRNA-Thr(ggt)
BIMNHAED_00047	tRNA	85				tRNA-Tyr(gta)
BIMNHAED_00048	CDS	1164				hypothetical protein
BIMNHAED_00049	CDS	1191	fprA	1.-.-.-	COG0426	Nitric oxide reductase
BIMNHAED_00050	CDS	1563	opuE_1		COG0591	Osmoregulated proline transporter OpuE
BIMNHAED_00051	CDS	1290			COG1167	Putative aminotransferase/MSMEI_6121
BIMNHAED_00052	CDS	1401		6.3.1.12		D-aspartate ligase
BIMNHAED_00053	CDS	732		5.1.1.13	COG1794	Aspartate racemase
BIMNHAED_00054	CDS	1854	asnB	6.3.5.4	COG0367	Putative asparagine synthetase [glutamine-hydrolyzing]
BIMNHAED_00055	CDS	960				hypothetical protein
BIMNHAED_00056	CDS	387				hypothetical protein
BIMNHAED_00057	CDS	879				hypothetical protein
BIMNHAED_00058	CDS	774	dmsD_1			Tat proofreading chaperone DmsD
BIMNHAED_00059	CDS	627	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
BIMNHAED_00060	CDS	2652	ynfF_1	1.8.99.-	COG1104	putative dimethyl sulfoxide reductase chain YnfF
BIMNHAED_00061	CDS	714	msrQ_1			Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
BIMNHAED_00062	CDS	897	oxyR			Hydrogen peroxide-inducible genes activator
BIMNHAED_00063	CDS	1704				hypothetical protein
BIMNHAED_00064	CDS	3552		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
BIMNHAED_00065	CDS	1656	hbpA		COG0747	Heme-binding protein A
BIMNHAED_00066	CDS	2178				hypothetical protein
BIMNHAED_00067	CDS	630	adk	2.7.4.3		Adenylate kinase
BIMNHAED_00068	CDS	1281	secY		COG0201	Protein translocase subunit SecY
BIMNHAED_00069	CDS	450	rplO			50S ribosomal protein L15
BIMNHAED_00070	CDS	192	rpmD		COG1841	50S ribosomal protein L30
BIMNHAED_00071	CDS	531	rpsE		COG0098	30S ribosomal protein S5
BIMNHAED_00072	CDS	369	rplR		COG0256	50S ribosomal protein L18
BIMNHAED_00073	CDS	540	rplF			50S ribosomal protein L6
BIMNHAED_00074	CDS	399	rpsH		COG0096	30S ribosomal protein S8
BIMNHAED_00075	CDS	186	rpsZ			30S ribosomal protein S14 type Z
BIMNHAED_00076	CDS	552	rplE			50S ribosomal protein L5
BIMNHAED_00077	CDS	336	rplX		COG0198	50S ribosomal protein L24
BIMNHAED_00078	CDS	369	rplN		COG0093	50S ribosomal protein L14
BIMNHAED_00079	CDS	261	rpsQ		COG0186	30S ribosomal protein S17
BIMNHAED_00080	CDS	195	rpmC			50S ribosomal protein L29
BIMNHAED_00081	CDS	423	rplP		COG0197	50S ribosomal protein L16
BIMNHAED_00082	CDS	714	rpsC		COG0092	30S ribosomal protein S3
BIMNHAED_00083	CDS	342	rplV		COG0091	50S ribosomal protein L22
BIMNHAED_00084	CDS	273	rpsS			30S ribosomal protein S19
BIMNHAED_00085	CDS	945	rplB			50S ribosomal protein L2
BIMNHAED_00086	CDS	564				hypothetical protein
BIMNHAED_00087	CDS	693	frdB_1	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
BIMNHAED_00088	CDS	1848				hypothetical protein
BIMNHAED_00089	CDS	861	slyA			Transcriptional regulator SlyA
BIMNHAED_00090	CDS	2070				hypothetical protein
BIMNHAED_00091	CDS	1332	tig_1	5.2.1.8	COG0544	Trigger factor
BIMNHAED_00092	CDS	582				hypothetical protein
BIMNHAED_00093	CDS	1608				hypothetical protein
BIMNHAED_00094	CDS	558				hypothetical protein
BIMNHAED_00095	CDS	696	frdB_2	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
BIMNHAED_00096	CDS	1923				hypothetical protein
BIMNHAED_00097	CDS	549				hypothetical protein
BIMNHAED_00098	CDS	3273	smc_1			Chromosome partition protein Smc
BIMNHAED_00099	CDS	702			COG1136	putative ABC transporter ATP-binding protein
BIMNHAED_00100	CDS	1533				hypothetical protein
BIMNHAED_00101	CDS	1470				hypothetical protein
BIMNHAED_00102	CDS	114				hypothetical protein
BIMNHAED_00103	CDS	498				hypothetical protein
BIMNHAED_00104	CDS	642				hypothetical protein
BIMNHAED_00105	CDS	1596				hypothetical protein
BIMNHAED_00106	CDS	1572				hypothetical protein
BIMNHAED_00107	CDS	495				hypothetical protein
BIMNHAED_00108	CDS	288	rplW		COG0089	50S ribosomal protein L23
BIMNHAED_00109	CDS	627	rplD			50S ribosomal protein L4
BIMNHAED_00110	CDS	621	rplC		COG0087	50S ribosomal protein L3
BIMNHAED_00111	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
BIMNHAED_00112	CDS	2118	fusA_1		COG0480	Elongation factor G
BIMNHAED_00113	CDS	471	rpsG		COG0049	30S ribosomal protein S7
BIMNHAED_00114	CDS	372	rpsL			30S ribosomal protein S12
BIMNHAED_00115	CDS	1191	cpg2	3.4.17.11		Carboxypeptidase G2
BIMNHAED_00116	CDS	969	ppaC	3.6.1.1	COG1227	Manganese-dependent inorganic pyrophosphatase
BIMNHAED_00117	CDS	1611				hypothetical protein
BIMNHAED_00118	CDS	2415	pcrA_1	3.6.4.12		ATP-dependent DNA helicase PcrA
BIMNHAED_00119	CDS	993				hypothetical protein
BIMNHAED_00120	CDS	381				hypothetical protein
BIMNHAED_00121	CDS	360	yccF		COG3304	Inner membrane protein YccF
BIMNHAED_00122	CDS	699				hypothetical protein
BIMNHAED_00123	CDS	387				hypothetical protein
BIMNHAED_00124	CDS	315				hypothetical protein
BIMNHAED_00125	CDS	912	dtd3_1	3.1.1.96		D-aminoacyl-tRNA deacylase
BIMNHAED_00126	CDS	768	tlyA	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
BIMNHAED_00127	CDS	1047				hypothetical protein
BIMNHAED_00128	CDS	1050	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
BIMNHAED_00129	CDS	1278	lysC	2.7.2.4	COG0527	Aspartokinase
BIMNHAED_00130	CDS	999				hypothetical protein
BIMNHAED_00131	CDS	1173				hypothetical protein
BIMNHAED_00132	CDS	630				hypothetical protein
BIMNHAED_00133	CDS	1056				hypothetical protein
BIMNHAED_00134	CDS	675	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
BIMNHAED_00135	CDS	2385	relA		COG0317	Bifunctional (p)ppGpp synthase/hydrolase RelA
BIMNHAED_00136	CDS	3342	srmB_1	3.6.4.13		ATP-dependent RNA helicase SrmB
BIMNHAED_00137	CDS	672	queF	1.7.1.13		NADPH-dependent 7-cyano-7-deazaguanine reductase
BIMNHAED_00138	CDS	135				hypothetical protein
BIMNHAED_00139	CDS	690	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
BIMNHAED_00140	CDS	786	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
BIMNHAED_00141	CDS	426				hypothetical protein
BIMNHAED_00142	CDS	135				hypothetical protein
BIMNHAED_00143	CDS	618	yigZ		COG1739	IMPACT family member YigZ
BIMNHAED_00144	CDS	1869	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BIMNHAED_00145	CDS	1413	ribZ_1			Riboflavin transporter RibZ
BIMNHAED_00146	CDS	555	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
BIMNHAED_00147	CDS	966	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
BIMNHAED_00148	CDS	1377	glmU			Bifunctional protein GlmU
BIMNHAED_00149	CDS	513				hypothetical protein
BIMNHAED_00150	CDS	2511	copA	7.2.2.8		Copper-exporting P-type ATPase
BIMNHAED_00151	CDS	405				hypothetical protein
BIMNHAED_00152	CDS	630				hypothetical protein
BIMNHAED_00153	CDS	1518	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
BIMNHAED_00154	CDS	822	ecfT_1			Energy-coupling factor transporter transmembrane protein EcfT
BIMNHAED_00155	CDS	1047	rhaR_1			HTH-type transcriptional activator RhaR
BIMNHAED_00156	CDS	357				hypothetical protein
BIMNHAED_00157	CDS	810	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
BIMNHAED_00158	CDS	609	ngr		COG1592	Nigerythrin
BIMNHAED_00159	CDS	1425	apeA	3.4.11.-	COG1362	putative M18 family aminopeptidase 1
BIMNHAED_00160	CDS	543	arcC1_1	2.7.2.2		Carbamate kinase 1
BIMNHAED_00161	CDS	798				hypothetical protein
BIMNHAED_00162	CDS	459	sigH		COG1595	ECF RNA polymerase sigma factor SigH
BIMNHAED_00163	CDS	603				hypothetical protein
BIMNHAED_00164	CDS	1212	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
BIMNHAED_00165	CDS	2946				hypothetical protein
BIMNHAED_00166	CDS	231				hypothetical protein
BIMNHAED_00167	CDS	2502				hypothetical protein
BIMNHAED_00168	CDS	510				hypothetical protein
BIMNHAED_00169	CDS	2193	mtgA	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
BIMNHAED_00170	CDS	1371	argH	4.3.2.1	COG0165	Argininosuccinate lyase
BIMNHAED_00171	CDS	615	argG	6.3.4.5		Argininosuccinate synthase
BIMNHAED_00172	CDS	1116				hypothetical protein
BIMNHAED_00173	CDS	561				hypothetical protein
BIMNHAED_00174	CDS	1347	proP_1			Proline/betaine transporter
BIMNHAED_00175	CDS	579				hypothetical protein
BIMNHAED_00176	CDS	1146	strB1	2.1.4.2	COG1834	Inosamine-phosphate amidinotransferase 1
BIMNHAED_00177	CDS	696				hypothetical protein
BIMNHAED_00178	CDS	846				hypothetical protein
BIMNHAED_00179	CDS	441				hypothetical protein
BIMNHAED_00180	CDS	639	betI			HTH-type transcriptional regulator BetI
BIMNHAED_00181	CDS	918		1.1.1.81	COG0111	Hydroxypyruvate reductase
BIMNHAED_00182	CDS	1455	coaBC	6.3.2.5		Coenzyme A biosynthesis bifunctional protein CoaBC
BIMNHAED_00183	CDS	672	regX3_1		COG0745	Sensory transduction protein regX3
BIMNHAED_00184	CDS	1185	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
BIMNHAED_00185	CDS	684			COG1136	putative ABC transporter ATP-binding protein
BIMNHAED_00186	CDS	3027				hypothetical protein
BIMNHAED_00187	CDS	1386	mepA_1			Multidrug export protein MepA
BIMNHAED_00188	CDS	489				hypothetical protein
BIMNHAED_00189	CDS	705				hypothetical protein
BIMNHAED_00190	CDS	885	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BIMNHAED_00191	CDS	468				hypothetical protein
BIMNHAED_00192	CDS	417				hypothetical protein
BIMNHAED_00193	CDS	1113	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
BIMNHAED_00194	CDS	993				hypothetical protein
BIMNHAED_00195	CDS	1458				hypothetical protein
BIMNHAED_00196	CDS	708				hypothetical protein
BIMNHAED_00197	CDS	312				hypothetical protein
BIMNHAED_00198	CDS	624	dnaJ_1			Chaperone protein DnaJ
BIMNHAED_00199	CDS	1815	typA		COG1217	GTP-binding protein TypA/BipA
BIMNHAED_00200	CDS	1356	surA	5.2.1.8		Chaperone SurA
BIMNHAED_00201	tRNA	92				tRNA-Ser(gga)
BIMNHAED_00202	tRNA	93				tRNA-Ser(cga)
BIMNHAED_00203	CDS	1386	msbA_1	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
BIMNHAED_00204	CDS	1734		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
BIMNHAED_00205	CDS	1728				hypothetical protein
BIMNHAED_00206	CDS	1461				hypothetical protein
BIMNHAED_00207	CDS	1197				hypothetical protein
BIMNHAED_00208	CDS	780				hypothetical protein
BIMNHAED_00209	CDS	1368	dinB_1	2.7.7.7		DNA polymerase IV
BIMNHAED_00210	CDS	450				hypothetical protein
BIMNHAED_00211	CDS	1545				hypothetical protein
BIMNHAED_00212	CDS	249				hypothetical protein
BIMNHAED_00213	CDS	327				hypothetical protein
BIMNHAED_00214	CDS	1158				hypothetical protein
BIMNHAED_00215	CDS	747	tmk	2.7.4.9	COG0125	Thymidylate kinase
BIMNHAED_00216	CDS	1170		1.1.1.38		NAD-dependent malic enzyme
BIMNHAED_00217	CDS	1314				hypothetical protein
BIMNHAED_00218	tRNA	84				tRNA-Leu(caa)
BIMNHAED_00219	CDS	1140				hypothetical protein
BIMNHAED_00220	CDS	510				hypothetical protein
BIMNHAED_00221	CDS	948	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
BIMNHAED_00222	CDS	780				hypothetical protein
BIMNHAED_00223	CDS	819				hypothetical protein
BIMNHAED_00224	CDS	573				hypothetical protein
BIMNHAED_00225	CDS	1002	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
BIMNHAED_00226	CDS	1437	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
BIMNHAED_00227	CDS	402				hypothetical protein
BIMNHAED_00228	CDS	837				hypothetical protein
BIMNHAED_00229	CDS	1296	serS	6.1.1.11	COG0172	Serine--tRNA ligase
BIMNHAED_00230	CDS	195				hypothetical protein
BIMNHAED_00231	CDS	2433	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
BIMNHAED_00232	CDS	837	nfo_1	3.1.21.2	COG0648	putative endonuclease 4
BIMNHAED_00233	CDS	810				hypothetical protein
BIMNHAED_00234	CDS	1458				hypothetical protein
BIMNHAED_00235	CDS	870				hypothetical protein
BIMNHAED_00236	CDS	1443				hypothetical protein
BIMNHAED_00237	CDS	1017	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
BIMNHAED_00238	CDS	858				hypothetical protein
BIMNHAED_00239	CDS	1521	trkH_1		COG0168	Trk system potassium uptake protein TrkH
BIMNHAED_00240	CDS	90				hypothetical protein
BIMNHAED_00241	CDS	921	murB_2	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
BIMNHAED_00242	CDS	3843	purL	6.3.5.3		Phosphoribosylformylglycinamidine synthase
BIMNHAED_00243	CDS	732				hypothetical protein
BIMNHAED_00244	CDS	882	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
BIMNHAED_00245	CDS	1563	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
BIMNHAED_00246	CDS	711	regX3_2		COG0745	Sensory transduction protein regX3
BIMNHAED_00247	CDS	1410				hypothetical protein
BIMNHAED_00248	CDS	1251	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
BIMNHAED_00249	CDS	663	dsbD	1.8.1.8		Thiol:disulfide interchange protein DsbD
BIMNHAED_00250	CDS	909	resA			Thiol-disulfide oxidoreductase ResA
BIMNHAED_00251	CDS	1350	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
BIMNHAED_00252	CDS	1578	ifcA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
BIMNHAED_00253	CDS	1428				hypothetical protein
BIMNHAED_00254	tRNA	91				tRNA-Ser(gct)
BIMNHAED_00255	CDS	363				hypothetical protein
BIMNHAED_00256	CDS	1065	ispE	2.7.1.148		Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
BIMNHAED_00257	CDS	1281				hypothetical protein
BIMNHAED_00258	CDS	489	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
BIMNHAED_00259	tRNA	88				tRNA-Ser(tga)
BIMNHAED_00260	CDS	1428	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
BIMNHAED_00261	tRNA	77				tRNA-Arg(acg)
BIMNHAED_00262	CDS	1368				hypothetical protein
BIMNHAED_00263	CDS	1362	mntH		COG1914	Divalent metal cation transporter MntH
BIMNHAED_00264	CDS	486	nsrR			HTH-type transcriptional repressor NsrR
BIMNHAED_00265	CDS	1647				hypothetical protein
BIMNHAED_00266	CDS	1581	opuE_2		COG0591	Osmoregulated proline transporter OpuE
BIMNHAED_00267	CDS	249				hypothetical protein
BIMNHAED_00268	CDS	990	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
BIMNHAED_00269	CDS	2223	menD	2.2.1.9		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
BIMNHAED_00270	CDS	1308	menF	5.4.4.2		Isochorismate synthase MenF
BIMNHAED_00271	CDS	366				hypothetical protein
BIMNHAED_00272	CDS	1017				hypothetical protein
BIMNHAED_00273	CDS	459				hypothetical protein
BIMNHAED_00274	CDS	276				hypothetical protein
BIMNHAED_00275	CDS	564	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
BIMNHAED_00276	CDS	480	mscL			Large-conductance mechanosensitive channel
BIMNHAED_00277	CDS	474	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
BIMNHAED_00278	CDS	786	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
BIMNHAED_00279	CDS	1701	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
BIMNHAED_00280	CDS	2241	murT	6.3.5.13		Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
BIMNHAED_00281	tRNA	76				tRNA-Thr(cgt)
BIMNHAED_00282	CDS	2760	uvrA_1		COG0178	UvrABC system protein A
BIMNHAED_00283	CDS	429				hypothetical protein
